,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
0,0,0,2013,"Avatar: The Last Airbender: The Search, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Dave Marshall', 'Gurihiru']",Graphic Novels & Comics,0,8,3,31,95,155,4.321917808219179,4.07,260424.0,21698.0,https://www.goodreads.com/book/show/16277248-avatar?from_choice=true,259.0,English,,,,
17,17,17,2013,Just One Day,['Gayle Forman'],Young Adult Fiction,0,1,7,43,109,143,4.273927392739274,3.95,1172183.0,89401.0,https://www.goodreads.com/book/show/12842115-just-one-day?from_choice=true,330.0,English,,,,
95,95,95,2013,Salt,['Nayyirah Waheed'],Poetry,0,0,0,9,14,43,4.5151515151515165,4.28,21489.0,2119.0,https://www.goodreads.com/book/show/18585282-salt?from_choice=true,71.0,English,,,,
100,100,100,2013,Survival Songs,['Meggie Royer'],Poetry,0,3,5,19,47,135,4.464114832535885,4.26,1351.0,109.0,https://www.goodreads.com/book/show/18369456-survival-songs?from_choice=true,-436.0,English,,,,
199,199,199,2013,Forged in Blood I,['Lindsay Buroker'],Fantasy,0,1,1,24,105,169,4.466666666666667,4.23,174418.0,11503.0,https://www.goodreads.com/book/show/15989176-forged-in-blood-i?from_choice=true,199.0,English,,,,
255,255,255,2013,Orphan Train,['Christina Baker Kline'],Fiction,0,2,7,41,152,97,4.120401337792642,4.09,417138.0,35762.0,https://www.goodreads.com/book/show/15818107-orphan-train?from_choice=true,246.0,English,,,,
307,307,307,2014,Alpha & Omega,"['Joe Hill', 'Gabriel Rodríguez']",Graphic Novels & Comics,0,0,1,14,73,212,4.653333333333333,4.03,658776.0,59771.0,https://www.goodreads.com/book/show/16164271-alpha-omega?from_choice=true,,,,,,
338,338,338,2014,We Were Liars,['E. Lockhart'],Young Adult Fiction,1,16,27,24,36,37,3.3642857142857143,3.79,536062.0,60310.0,https://www.goodreads.com/book/show/16143347-we-were-liars?from_choice=true,204.0,English,,,,
345,345,345,2014,This Star Won't Go Out: The Life and Words of Esther Grace Earl,"['Esther Earl', 'Lori Earl', 'Wayne Earl', 'John Green']",Memoir & Autobiography,1,0,4,23,66,203,4.581081081081081,4.06,6100113.0,336530.0,https://www.goodreads.com/book/show/17675031-this-star-won-t-go-out?from_choice=true,309.0,English,,,,
414,414,414,2014,Lullabies,['Lang Leav'],Poetry,1,4,17,39,75,162,4.25925925925926,3.98,98320.0,8319.0,https://www.goodreads.com/book/show/22151696-lullabies?from_choice=true,78.0,English,,,,
440,440,440,2014,The Kiss of Deception,['Mary E. Pearson'],Young Adult Fantasy,0,8,18,46,99,117,4.038194444444445,4.03,223539.0,28450.0,https://www.goodreads.com/book/show/16429619-the-kiss-of-deception?from_choice=true,148.0,English,,,,
441,441,441,2014,White Hot Kiss,['Jennifer L. Armentrout'],Young Adult Fantasy,0,3,5,30,90,161,4.3875432525951545,4.21,1660885.0,146411.0,https://www.goodreads.com/book/show/17455585-white-hot-kiss?from_choice=true,281.0,English,,,,
447,447,447,2014,Ruin and Rising,['Leigh Bardugo'],Young Adult Fantasy,0,4,10,39,104,140,4.232323232323233,4.22,1044221.0,143448.0,https://www.goodreads.com/book/show/14061957-ruin-and-rising?from_choice=true,169.0,English,,,,
