year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews
2013,"Avatar: The Last Airbender: The Search, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Dave Marshall', 'Gurihiru']",Graphic Novels & Comics,0,8,3,31,95,155,4.321917808219178,4.07,260424,21698
2013,"The Walking Dead, Vol. 18: What Comes After","['Robert Kirkman', 'Charlie Adlard', 'Cliff Rathburn']",Graphic Novels & Comics,0,1,7,67,129,95,4.036789297658863,4.25,1055707,46180
2013,"Batman, Volume 2: The City of Owls","['Scott Snyder', 'Greg Capullo', 'Jonathan Glapion', 'James Tynion IV', 'Rafael Albuquerque', 'Jason Fabok', 'Becky Cloonan', 'Andy   Clarke']",Graphic Novels & Comics,0,0,2,31,99,139,4.3837638376383765,4.05,323850,23558
2013,Kick-Ass 2,"['Mark Millar', 'John Romita Jr.', 'Tom Palmer', 'Dean White', 'Michael Kelleher', 'Dan   Brown', 'Joe Carnahan']",Graphic Novels & Comics,0,8,19,92,108,73,3.73,3.99,299356,14553
2013,"American Vampire, Vol. 5","['Scott Snyder', 'Rafael Albuquerque', 'Dustin Nguyen']",Graphic Novels & Comics,0,1,7,31,132,129,4.27,4.03,104983,7504
2013,Raven Girl,['Audrey Niffenegger'],Graphic Novels & Comics,0,22,55,114,70,37,3.151006711409396,3.92,1582432,62289
2013,"Sweet Tooth, Volume 6: Wild Game","['Jeff Lemire', 'José Villarrubia', 'Carlos M. Mangual']",Graphic Novels & Comics,0,1,11,34,112,142,4.276666666666666,3.98,233567,22794
2013,Blue Bloods: The Graphic Novel,"['Melissa de la Cruz', 'Robert Venditti', 'Alina Urusov']",Graphic Novels & Comics,0,6,20,46,74,147,4.146757679180888,3.82,616419,33563
2013,The Infernal Devices: Clockwork Prince,"['Cassandra Clare', 'Hye-Kyung Baek']",Graphic Novels & Comics,0,2,4,25,78,187,4.5,4.26,6293456,352166
2013,"Fables, Vol. 18: Cubs in Toyland","['Bill Willingham', 'Mark Buckingham', 'Gene Ha']",Graphic Novels & Comics,0,0,5,58,133,103,4.117056856187291,4.13,648634,25490
2013,Beautiful Creatures: The Manga,"['Kami Garcia', 'Margaret Stohl', 'Cassandra Jean']",Graphic Novels & Comics,1,1,13,52,88,140,4.200680272108843,3.82,883592,49058
2013,"Wonder Woman, Volume 2: Guts","['Brian Azzarello', 'Cliff Chiang', 'Tony Akins', 'Kano', 'Dan           Green', 'Matthew Wilson', 'Jared K. Fletcher']",Graphic Novels & Comics,0,5,7,44,139,105,4.1066666666666665,3.96,212966,7860
2013,Boxers & Saints,['Gene Luen Yang'],Graphic Novels & Comics,0,2,2,24,102,100,4.28695652173913,4.07,260486,21703
2013,"Captain Marvel, Volume 1: In Pursuit of Flight","['Kelly Sue DeConnick', 'Dexter Soy', 'Emma Ríos', 'Richard Elson', 'Karl Kesel', 'Al Barrionuevo']",Graphic Novels & Comics,0,11,11,65,116,96,3.919732441471572,3.98,129440,11265
2013,Calling Dr. Laura,['Nicole J. Georges'],Graphic Novels & Comics,0,3,12,70,135,79,3.919732441471572,3.89,9326,1012
2013,If You Find Me,['Emily Murdoch'],Young Adult Fiction,0,3,8,31,122,132,4.256756756756757,4.06,18133,2940
