,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
0,0,0,2013,"Avatar: The Last Airbender: The Search, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Dave Marshall', 'Gurihiru']",Graphic Novels & Comics,0,8,3,31,95,155,4.321917808219179,4.07,260424.0,21698.0,https://www.goodreads.com/book/show/16277248-avatar?from_choice=true,259.0,English,0.0,inf,inf,0.0
1,1,1,2013,"The Walking Dead, Vol. 18: What Comes After","['Robert Kirkman', 'Charlie Adlard', 'Cliff Rathburn']",Graphic Novels & Comics,0,1,7,67,129,95,4.036789297658863,4.25,1055707.0,46180.0,https://www.goodreads.com/book/show/16173578-the-walking-dead-vol-18?from_choice=true,182.0,1607066874,0.0,inf,inf,0.0
2,2,2,2013,"Batman, Volume 2: The City of Owls","['Scott Snyder', 'Greg Capullo', 'Jonathan Glapion', 'James Tynion IV', 'Rafael Albuquerque', 'Jason Fabok', 'Becky Cloonan', 'Andy   Clarke']",Graphic Novels & Comics,0,0,2,31,99,139,4.3837638376383765,4.05,323850.0,23558.0,https://www.goodreads.com/book/show/15752115-batman-volume-2?from_choice=true,253.0,1401237770,0.0,inf,inf,0.0
3,3,3,2013,Kick-Ass 2,"['Mark Millar', 'John Romita Jr.', 'Tom Palmer', 'Dean White', 'Michael Kelleher', 'Dan   Brown', 'Joe Carnahan']",Graphic Novels & Comics,0,8,19,92,108,73,3.73,3.99,299356.0,14553.0,https://www.goodreads.com/book/show/10871925-kick-ass-2?from_choice=true,539.0,0785152458,0.0,inf,inf,0.0
4,4,4,2013,"American Vampire, Vol. 5","['Scott Snyder', 'Rafael Albuquerque', 'Dustin Nguyen']",Graphic Novels & Comics,0,1,7,31,132,129,4.27,4.03,104983.0,7504.0,https://www.goodreads.com/book/show/15791600-american-vampire-vol-5?from_choice=true,252.0,1401237703,0.0,inf,inf,0.0
5,5,5,2013,Raven Girl,['Audrey Niffenegger'],Graphic Novels & Comics,0,22,55,114,70,37,3.1510067114093965,3.92,1582432.0,62289.0,https://www.goodreads.com/book/show/15842705-raven-girl?from_choice=true,211.0,1419707264,0.0,inf,inf,0.0
6,6,6,2013,"Sweet Tooth, Volume 6: Wild Game","['Jeff Lemire', 'José Villarrubia', 'Carlos M. Mangual']",Graphic Novels & Comics,0,1,11,34,112,142,4.276666666666666,3.98,233567.0,22794.0,https://www.goodreads.com/book/show/17137619-sweet-tooth-volume-6?from_choice=true,162.0,1401240291,0.0,inf,inf,0.0
7,7,7,2013,Blue Bloods: The Graphic Novel,"['Melissa de la Cruz', 'Robert Venditti', 'Alina Urusov']",Graphic Novels & Comics,0,6,20,46,74,147,4.146757679180888,3.82,616419.0,33563.0,https://www.goodreads.com/book/show/11476163-blue-bloods?from_choice=true,323.0,142313446X,0.0,inf,inf,0.0
8,8,8,2013,The Infernal Devices: Clockwork Prince,"['Cassandra Clare', 'Hye-Kyung Baek']",Graphic Novels & Comics,0,2,4,25,78,187,4.5,4.26,6293456.0,352166.0,https://www.goodreads.com/book/show/13226217-the-infernal-devices?from_choice=true,94.0,0316200964,0.0,inf,inf,0.0
9,9,9,2013,"Fables, Vol. 18: Cubs in Toyland","['Bill Willingham', 'Mark Buckingham', 'Gene Ha']",Graphic Novels & Comics,0,0,5,58,133,103,4.117056856187292,4.13,648634.0,25490.0,https://www.goodreads.com/book/show/15791586-fables-vol-18?from_choice=true,316.0,140123769X,0.0,inf,inf,0.0
