year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating
2013,"Avatar: The Last Airbender: The Search, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Dave Marshall', 'Gurihiru']",Graphic Novels & Comics,0,8,3,31,95,155,4.321917808219178
2013,"The Walking Dead, Vol. 18: What Comes After","['Robert Kirkman', 'Charlie Adlard', 'Cliff Rathburn']",Graphic Novels & Comics,0,1,7,67,129,95,4.036789297658863
2013,"Batman, Volume 2: The City of Owls","['Scott Snyder', 'Greg Capullo', 'Jonathan Glapion', 'James Tynion IV', 'Rafael Albuquerque', 'Jason Fabok', 'Becky Cloonan', 'Andy   Clarke']",Graphic Novels & Comics,0,0,2,31,99,139,4.3837638376383765
2013,Kick-Ass 2,"['Mark Millar', 'John Romita Jr.', 'Tom Palmer', 'Dean White', 'Michael Kelleher', 'Dan   Brown', 'Joe Carnahan']",Graphic Novels & Comics,0,8,19,92,108,73,3.73
2013,"American Vampire, Vol. 5","['Scott Snyder', 'Rafael Albuquerque', 'Dustin Nguyen']",Graphic Novels & Comics,0,1,7,31,132,129,4.27
2013,Raven Girl,['Audrey Niffenegger'],Graphic Novels & Comics,0,22,55,114,70,37,3.151006711409396
2013,"Sweet Tooth, Volume 6: Wild Game","['Jeff Lemire', 'José Villarrubia', 'Carlos M. Mangual']",Graphic Novels & Comics,0,1,11,34,112,142,4.276666666666666
2013,Blue Bloods: The Graphic Novel,"['Melissa de la Cruz', 'Robert Venditti', 'Alina Urusov']",Graphic Novels & Comics,0,6,20,46,74,147,4.146757679180888
2013,The Infernal Devices: Clockwork Prince,"['Cassandra Clare', 'Hye-Kyung Baek']",Graphic Novels & Comics,0,2,4,25,78,187,4.5
2013,"Fables, Vol. 18: Cubs in Toyland","['Bill Willingham', 'Mark Buckingham', 'Gene Ha']",Graphic Novels & Comics,0,0,5,58,133,103,4.117056856187291
2013,Beautiful Creatures: The Manga,"['Kami Garcia', 'Margaret Stohl', 'Cassandra Jean']",Graphic Novels & Comics,1,1,13,52,88,140,4.200680272108843
2013,"Wonder Woman, Volume 2: Guts","['Brian Azzarello', 'Cliff Chiang', 'Tony Akins', 'Kano', 'Dan           Green', 'Matthew Wilson', 'Jared K. Fletcher']",Graphic Novels & Comics,0,5,7,44,139,105,4.1066666666666665
2013,Boxers & Saints,['Gene Luen Yang'],Graphic Novels & Comics,0,2,2,24,102,100,4.28695652173913
2013,"Captain Marvel, Volume 1: In Pursuit of Flight","['Kelly Sue DeConnick', 'Dexter Soy', 'Emma Ríos', 'Richard Elson', 'Karl Kesel', 'Al Barrionuevo']",Graphic Novels & Comics,0,11,11,65,116,96,3.919732441471572
2013,Calling Dr. Laura,['Nicole J. Georges'],Graphic Novels & Comics,0,3,12,70,135,79,3.919732441471572
2013,The Titan's Curse: The Graphic Novel,"['Robert Venditti', 'Rick Riordan', 'Attila Futaki', 'Gregory Guilhaumond', 'Chris Dickey']",Graphic Novels & Comics,0,4,8,59,71,127,4.148698884758364
2013,March: Book One,"['John             Lewis', 'Andrew Aydin', 'Nate Powell']",Graphic Novels & Comics,0,4,2,19,103,168,4.449324324324325
2013,"Chew, Vol. 6: Space Cakes","['John Layman', 'Rob Guillory']",Graphic Novels & Comics,0,2,2,32,129,134,4.3076923076923075
2013,"Saga, Vol. 2","['Brian K. Vaughan', 'Fiona Staples']",Graphic Novels & Comics,0,0,0,18,82,200,4.6066666666666665
2013,"Hawkeye, Volume 1: My Life as a Weapon","['Matt Fraction', 'David Aja', 'Javier Pulido', 'Matt Hollingsworth', 'Annie Wu', 'Chris Eliopoulos', 'Alan Davis', 'Francesco Francavilla']",Graphic Novels & Comics,0,1,4,15,95,184,4.528428093645485
2013,Eleanor & Park,['Rainbow Rowell'],Young Adult Fiction,1,2,9,39,105,140,4.261016949152542
2013,Just One Day,['Gayle Forman'],Young Adult Fiction,0,1,7,43,109,143,4.273927392739274
2013,Ali's Pretty Little Lies,['Sara Shepard'],Young Adult Fiction,0,1,9,65,116,135,4.1503067484662575
2013,"Forgive Me, Leonard Peacock",['Matthew Quick'],Young Adult Fiction,0,3,18,63,107,84,3.9127272727272726
2013,Game,['Barry Lyga'],Young Adult Fiction,0,1,8,29,115,141,4.316326530612245
2013,Rose Under Fire,['Elizabeth E. Wein'],Young Adult Fiction,0,0,0,32,116,148,4.391891891891892
2013,Dare You To,['Katie McGarry'],Young Adult Fiction,0,0,5,24,110,156,4.4135593220338984
2013,If You Find Me,['Emily Murdoch'],Young Adult Fiction,0,3,8,31,122,132,4.256756756756757
2013,Where the Stars Still Shine,['Trish Doller'],Young Adult Fiction,0,4,13,47,105,125,4.136054421768708
2013,Perfect Scoundrels,['Ally Carter'],Young Adult Fiction,0,2,2,29,100,163,4.418918918918919
2013,Two Boys Kissing,['David Levithan'],Young Adult Fiction,0,1,7,39,83,162,4.363013698630137
2013,The Moon and More,['Sarah Dessen'],Young Adult Fiction,0,2,25,85,132,48,3.6815068493150687
2013,The Beginning of Everything,['Robyn Schneider'],Young Adult Fiction,0,3,9,69,115,98,4.006802721088436
2013,The Distance Between Us,['Kasie West'],Young Adult Fiction,0,3,8,52,125,107,4.101694915254237
2013,Fangirl,['Rainbow Rowell'],Young Adult Fiction,0,2,11,32,114,139,4.26510067114094
2013,Wild Cards,['Simone Elkeles'],Young Adult Fiction,0,9,18,79,94,94,3.836734693877551
2013,Golden,['Jessi Kirby'],Young Adult Fiction,0,2,14,40,107,134,4.202020202020202
2013,United We Spy,['Ally Carter'],Young Adult Fiction,0,2,1,28,85,170,4.468531468531468
2013,This Is What Happy Looks Like,['Jennifer E. Smith'],Young Adult Fiction,0,6,16,89,118,62,3.7353951890034365
2013,Out of the Easy,"['Ruta Sepetys', 'Lauren Fortgang']",Young Adult Fiction,0,1,3,39,110,138,4.309278350515464
2013,Chanel Bonfire,['Wendy Lawless'],Memoir & Autobiography,0,3,20,82,132,60,3.760942760942761
2013,Wave,['Sonali Deraniyagala'],Memoir & Autobiography,0,2,26,69,125,76,3.8288590604026846
2013,A House in the Sky,"['Amanda Lindhout', 'Sara Corbett']",Memoir & Autobiography,0,0,6,40,96,156,4.348993288590604
2013,Until I Say Goodbye: A Book about Living,['Susan Spencer-Wendel'],Memoir & Autobiography,0,1,4,46,116,129,4.243243243243243
2013,Waiting to Be Heard: A Memoir,['Amanda Knox'],Memoir & Autobiography,0,6,11,73,129,80,3.8896321070234112
2013,After Visiting Friends: A Son's Story,['Michael Hainey'],Memoir & Autobiography,0,3,22,91,134,47,3.6734006734006734
2013,"The World's Strongest Librarian: A Memoir of Tourette's, Faith, Strength, and the Power of Family",['Josh Hanagarne'],Memoir & Autobiography,0,4,14,70,118,92,3.9395973154362416
2013,"Happy, Happy, Happy","['Phil Robertson', 'Mark Schlabach']",Memoir & Autobiography,0,0,10,49,103,137,4.2274247491638794
2013,"Sum It Up: 1,098 Victories, a Couple of Irrelevant Losses, and a Life in Perspective","['Pat Summitt', 'Sally Jenkins']",Memoir & Autobiography,0,1,1,20,81,196,4.5719063545150505
2013,Coming Clean,['Kimberly Rae Miller'],Memoir & Autobiography,0,2,15,76,146,61,3.83
2013,The Spark: A Mother's Story of Nurturing Genius,['Kristine Barnett'],Memoir & Autobiography,0,4,12,47,92,143,4.201342281879195
2013,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,"['Naoki Higashida', 'K.A. Yoshida', 'David Mitchell']",Memoir & Autobiography,0,4,23,78,109,83,3.8215488215488214
2013,My Story,"['Elizabeth  Smart', 'Chris Stewart']",Memoir & Autobiography,0,2,17,73,132,74,3.8691275167785233
2013,My Beloved World,['Sonia Sotomayor'],Memoir & Autobiography,0,0,2,39,142,114,4.239057239057239
2013,Mom & Me & Mom,['Maya Angelou'],Memoir & Autobiography,0,2,16,65,111,103,4.0
2013,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"['Malala Yousafzai', 'Christina Lamb']",Memoir & Autobiography,1,2,3,48,121,126,4.22
2013,Mo' Meta Blues: The World According to Questlove,"['Ahmir Questlove Thompson', 'Ben Greenman']",Memoir & Autobiography,0,0,3,52,148,96,4.127090301003345
2013,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,"['Jenna Miscavige Hill', 'Lisa Pulitzer']",Memoir & Autobiography,0,5,26,100,118,50,3.608695652173913
2013,"Carry On, Warrior: Thoughts on Life Unarmed","['Glennon Doyle Melton', 'Glennon Doyle']",Memoir & Autobiography,0,2,3,26,90,179,4.47
2013,Fairyland: A Memoir of My Father,['Alysia Abbott'],Memoir & Autobiography,0,2,10,57,123,106,4.077181208053691
2013,The Dark,"['Lemony Snicket', 'Jon Klassen']",Picture Books,0,0,11,39,122,126,4.218120805369128
2013,Chu's Day,"['Neil Gaiman', 'Adam Rex']",Picture Books,0,4,14,81,134,64,3.808080808080808
2013,The Matchbox Diary,"['Paul Fleischman', 'Bagram Ibatoulline']",Picture Books,0,6,11,39,114,128,4.1644295302013425
2013,Deck the Walls: A Wacky Christmas Carol,"['Erin Dealey', 'Nick Ward']",Picture Books,0,0,0,18,15,19,4.019230769230769
2013,Open This Little Book,"['Jesse Klausmeier', 'Suzy Lee']",Picture Books,0,0,11,35,109,142,4.286195286195286
2013,That Is Not a Good Idea!,['Mo Willems'],Picture Books,0,2,8,36,133,119,4.204697986577181
2013,Exclamation Mark,"['Amy Krouse Rosenthal', 'Tom Lichtenheld']",Picture Books,0,8,9,21,93,168,4.351170568561873
2013,If You Want to See a Whale,"['Julie Fogliano', 'Erin E. Stead']",Picture Books,0,8,8,57,122,102,4.016835016835016
2013,My Brother's Book,"['Maurice Sendak', 'Stephen Greenblatt']",Picture Books,0,20,38,66,98,75,3.5723905723905722
2013,Journey,['Aaron Becker'],Picture Books,0,10,7,22,80,180,4.381270903010034
2013,Flora and the Flamingo,['Molly Idle'],Picture Books,0,4,5,37,106,146,4.291946308724833
2013,Unicorn Thinks He's Pretty Great,['Bob Shea'],Picture Books,0,1,10,51,136,99,4.084175084175084
2013,Mustache Baby,"['Bridget Heos', 'Joy Ang']",Picture Books,0,7,12,48,95,138,4.15
2013,On a Beam of Light: A Story of Albert Einstein,"['Jennifer  Berne', 'Vladimir Radunsky']",Picture Books,0,0,4,31,126,133,4.319727891156463
2013,The Day the Crayons Quit,"['Drew Daywalt', 'Oliver Jeffers']",Picture Books,1,1,2,25,68,202,4.570469798657718
2013,A Little Book of Sloth,['Lucy Cooke'],Picture Books,0,0,6,25,112,154,4.393939393939394
2013,Count the Monkeys,"['Mac Barnett', 'Kevin Cornell']",Picture Books,0,2,8,27,106,155,4.355704697986577
2013,Mr. Tiger Goes Wild,['Peter  Brown'],Picture Books,0,4,2,31,131,130,4.278523489932886
2013,Sophie's Squash,"['Pat Zietlow Miller', 'Anne Wilsdorf']",Picture Books,0,0,4,35,118,142,4.331103678929765
2013,Mr. Wuffles!,['David Wiesner'],Picture Books,0,2,6,41,113,136,4.258389261744966
2013,Collide,['Gail McHugh'],Romance,0,1,7,32,79,179,4.436241610738255
2013,Real,['Katy Evans'],Romance,0,4,8,26,88,174,4.4
2013,Reckless,['S.C. Stephens'],Romance,0,2,6,28,70,186,4.47945205479452
2013,The Longest Ride,['Nicholas Sparks'],Romance,0,1,8,30,113,144,4.320945945945946
2013,Play with Me,['Kristen Proby'],Romance,0,0,2,14,83,201,4.61
2013,Fallen Too Far,['Abbi Glines'],Romance,0,2,6,31,92,166,4.393939393939394
2013,This Girl,['Colleen Hoover'],Romance,0,0,7,27,66,196,4.523648648648648
2013,Tangled,['Emma Chase'],Romance,0,0,3,16,73,206,4.617449664429531
2013,Wait for You,"['J. Lynn', 'Jennifer L. Armentrout']",Romance,0,0,6,35,88,169,4.409395973154362
2013,Blackmoore,['Julianne Donaldson'],Romance,0,0,4,25,119,152,4.3966666666666665
2013,Surrender Your Love,['J.C. Reed'],Romance,0,2,14,64,138,79,3.936026936026936
2013,Beautiful Bastard,['Christina Lauren'],Romance,0,8,19,55,119,95,3.925675675675676
2013,The Coincidence of Callie & Kayden,['Jessica Sorensen'],Romance,0,0,2,9,66,221,4.697986577181208
2013,Losing Hope,['Colleen Hoover'],Romance,0,1,2,11,46,233,4.733788395904437
2013,Ten Tiny Breaths,['K.A. Tucker'],Romance,0,4,4,27,79,184,4.459731543624161
2013,Beauty from Pain,['Georgia Cates'],Romance,0,3,2,16,95,182,4.5134228187919465
2013,Walking Disaster,['Jamie McGuire'],Romance,0,3,18,44,100,123,4.118055555555555
2013,Entwined with You,['Sylvia Day'],Romance,0,2,10,56,110,118,4.121621621621622
2013,Beneath This Man,['Jodi Ellen Malpas'],Romance,0,1,8,27,76,188,4.473333333333334
2013,Lover at Last,['J.R. Ward'],Romance,1,1,8,57,115,111,4.11986301369863
2013,My Dog: The Paradox: A Lovable Discourse about Man's Best Friend,"['Matthew Inman', 'The Oatmeal']",Humor,0,6,10,40,85,159,4.27
2013,Vader's Little Princess,['Jeffrey Brown'],Humor,0,4,11,74,118,93,3.95
2013,Wallbanger,['Alice Clayton'],Humor,0,2,2,18,119,156,4.430976430976431
2013,To Be or Not To Be: A Chooseable-Path Adventure,['Ryan North'],Humor,0,3,9,49,94,144,4.2274247491638794
2013,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",['Allie Brosh'],Humor,1,0,1,26,112,160,4.441471571906354
2013,Wedding Night,['Sophie Kinsella'],Humor,0,9,44,108,100,36,3.3703703703703702
