,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daystocom,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
0,0,0,2013,"Avatar: The Last Airbender: The Search, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Dave Marshall', 'Gurihiru']",Graphic Novels & Comics,0,0.0273972602739726,0.010273972602739724,0.10616438356164384,0.3253424657534247,0.5308219178082192,4.321917808219179,4.07,260424.0,21698.0,https://www.goodreads.com/book/show/16277248-avatar?from_choice=true,259.0,English,inf,inf,inf,0
1,1,1,2013,"The Walking Dead, Vol. 18: What Comes After","['Robert Kirkman', 'Charlie Adlard', 'Cliff Rathburn']",Graphic Novels & Comics,0,0.0033444816053511705,0.023411371237458192,0.2240802675585284,0.431438127090301,0.3177257525083612,4.036789297658863,4.25,1055707.0,46180.0,https://www.goodreads.com/book/show/16173578-the-walking-dead-vol-18?from_choice=true,182.0,1607066874,9.0,0.12986386684303353,1.0,1.0
2,2,2,2013,"Batman, Volume 2: The City of Owls","['Scott Snyder', 'Greg Capullo', 'Jonathan Glapion', 'James Tynion IV', 'Rafael Albuquerque', 'Jason Fabok', 'Becky Cloonan', 'Andy   Clarke']",Graphic Novels & Comics,0,0.0,0.007380073800738006,0.11439114391143912,0.36531365313653136,0.5129151291512916,4.3837638376383765,4.05,323850.0,23558.0,https://www.goodreads.com/book/show/15752115-batman-volume-2?from_choice=true,253.0,1401237770,18.0,0.05905633530109047,1.0,1.0
3,3,3,2013,Kick-Ass 2,"['Mark Millar', 'John Romita Jr.', 'Tom Palmer', 'Dean White', 'Michael Kelleher', 'Dan   Brown', 'Joe Carnahan']",Graphic Novels & Comics,0,0.02666666666666667,0.06333333333333334,0.30666666666666664,0.36,0.2433333333333333,3.73,3.99,299356.0,14553.0,https://www.goodreads.com/book/show/10871925-kick-ass-2?from_choice=true,539.0,0785152458,6.0,1.173611111111111,5.0,1.0
4,4,4,2013,"American Vampire, Vol. 5","['Scott Snyder', 'Rafael Albuquerque', 'Dustin Nguyen']",Graphic Novels & Comics,0,0.0033333333333333327,0.02333333333333333,0.10333333333333332,0.44,0.43,4.27,4.03,104983.0,7504.0,https://www.goodreads.com/book/show/15791600-american-vampire-vol-5?from_choice=true,252.0,1401237703,2.0,4.5,2.0,1.0
5,5,5,2013,Raven Girl,['Audrey Niffenegger'],Graphic Novels & Comics,0,0.0738255033557047,0.18456375838926176,0.3825503355704698,0.2348993288590604,0.12416107382550336,3.1510067114093965,3.92,1582432.0,62289.0,https://www.goodreads.com/book/show/15842705-raven-girl?from_choice=true,211.0,1419707264,2.0,7.5,5.0,1.0
6,6,6,2013,"Sweet Tooth, Volume 6: Wild Game","['Jeff Lemire', 'José Villarrubia', 'Carlos M. Mangual']",Graphic Novels & Comics,0,0.0033333333333333327,0.03666666666666667,0.11333333333333333,0.37333333333333335,0.4733333333333333,4.276666666666666,3.98,233567.0,22794.0,https://www.goodreads.com/book/show/17137619-sweet-tooth-volume-6?from_choice=true,162.0,1401240291,1.0,3.0,3.0,1.0
7,7,7,2013,Blue Bloods: The Graphic Novel,"['Melissa de la Cruz', 'Robert Venditti', 'Alina Urusov']",Graphic Novels & Comics,0,0.020477815699658702,0.06825938566552901,0.15699658703071673,0.2525597269624573,0.5017064846416383,4.146757679180888,3.82,616419.0,33563.0,https://www.goodreads.com/book/show/11476163-blue-bloods?from_choice=true,323.0,142313446X,0.0,inf,inf,0.0
8,8,8,2013,The Infernal Devices: Clockwork Prince,"['Cassandra Clare', 'Hye-Kyung Baek']",Graphic Novels & Comics,0,0.006756756756756757,0.013513513513513514,0.08445945945945946,0.2635135135135135,0.6317567567567568,4.5,4.26,6293456.0,352166.0,https://www.goodreads.com/book/show/13226217-the-infernal-devices?from_choice=true,94.0,0316200964,0.0,inf,inf,0.0
9,9,9,2013,"Fables, Vol. 18: Cubs in Toyland","['Bill Willingham', 'Mark Buckingham', 'Gene Ha']",Graphic Novels & Comics,0,0.0,0.016722408026755852,0.1939799331103679,0.4448160535117057,0.34448160535117056,4.117056856187292,4.13,648634.0,25490.0,https://www.goodreads.com/book/show/15791586-fables-vol-18?from_choice=true,316.0,140123769X,4.0,1.3333333333333333,1.0,1.0
